id,game_publisher_id,platform_id,release_year
4051,3882,13,1998
4052,4462,13,2000
4053,5639,13,2001
4054,6069,13,1996
4055,6551,13,2000
4056,6568,13,1998
4057,6856,13,1998
4058,7314,13,1999
4059,8284,13,1996
4060,9322,13,1999
4061,320,14,2005
4062,1965,14,2004
4063,2212,14,2002
4064,2481,14,2003
4065,2776,14,2003
4066,2836,14,2006
4067,2905,14,2006
4068,3307,14,2006
4069,3537,14,2002
4070,3893,14,2003
4071,4382,14,2004
4072,4982,14,2003
4073,5100,14,2004
4074,5159,14,2004
4075,5237,14,2005
4076,5691,14,2002
4077,5810,14,2004
4078,6239,14,2001
4079,6621,14,2003
4080,7601,14,2005
4081,8703,14,2006
4082,8792,14,2006
4083,9405,14,2006
4084,160,15,1997
4085,198,15,1996
4086,226,15,2009
4087,318,15,1998
4088,320,15,2005
4089,538,15,1998
4090,1246,15,2008
4091,1267,15,2003
4092,1526,15,1999
4093,1614,15,2003
4094,1855,15,2007
4095,2776,15,2003
4096,2836,15,2006
4097,2905,15,2006
4098,3641,15,2009
4099,3857,15,2009
4100,3915,15,2009
4101,4558,15,2007
4102,5430,15,2008
4103,6298,15,2006
4104,9380,15,2003
4105,9510,15,2005
4106,9847,15,2001
4107,10671,15,2008
4108,10895,15,2003
4109,11175,15,2009
4110,11413,15,2000
4111,11482,15,2009
4112,1855,17,2007
4113,2836,17,2006
4114,3486,17,2007
4115,5025,17,2006
4116,7893,17,2005
4117,10498,17,2007
4118,11559,17,2009
4119,320,19,2005
4120,419,19,2003
4121,2212,19,2002
4122,2836,19,2006
4123,3537,19,2002
4124,4982,19,2003
4125,7082,19,2006
4126,7911,19,2002
4127,1433,22,2000
4128,6317,22,1998
4129,74,1,2012
4130,75,1,2010
4131,102,1,2013
4132,110,1,2011
4133,113,1,2014
4134,175,1,2010
4135,207,1,2006
4136,262,1,2009
4137,295,1,2007
4138,305,1,2009
4139,381,1,2007
4140,438,1,2012
4141,446,1,2009
4142,452,1,2010
4143,481,1,2011
4144,519,1,2007
4145,557,1,2007
4146,671,1,2007
4147,676,1,2008
4148,700,1,2011
4149,742,1,2008
4150,912,1,2006
4151,968,1,2008
4152,1008,1,2007
4153,1087,1,2007
4154,1093,1,2008
4155,1108,1,2008
4156,1145,1,2009
4157,1221,1,2007
4158,1224,1,2010
4159,1295,1,2010
4160,1308,1,2008
4161,1309,1,2007
4162,1388,1,2009
4163,1399,1,2007
4164,1481,1,2008
4165,1499,1,2009
4166,1510,1,2009
4167,1595,1,2007
4168,1620,1,2009
4169,1727,1,2009
4170,1784,1,2011
4171,1787,1,2008
4172,1868,1,2009
4173,1869,1,2008
4174,1874,1,2007
4175,1884,1,2010
4176,1933,1,2010
4177,1946,1,2010
4178,2025,1,2009
4179,2071,1,2010
4180,2137,1,2007
4181,2406,1,2009
4182,2532,1,2008
4183,2554,1,2009
4184,2682,1,2010
4185,2783,1,2009
4186,2910,1,2007
4187,2976,1,2009
4188,3015,1,2008
4189,3050,1,2009
4190,3194,1,2008
4191,3266,1,2010
4192,3294,1,2009
4193,3402,1,2009
4194,3429,1,2008
4195,3781,1,2011
4196,3926,1,2007
4197,3939,1,2010
4198,4178,1,2009
4199,4562,1,2010
4200,4564,1,2009
4201,4824,1,2008
4202,4895,1,2009
4203,5024,1,2008
4204,5106,1,2008
4205,5505,1,2011
4206,5517,1,2011
4207,5768,1,2008
4208,6037,1,2011
4209,6051,1,2007
4210,6195,1,2009
4211,6432,1,2010
4212,6673,1,2009
4213,6714,1,2008
4214,6930,1,2011
4215,7290,1,2007
4216,7507,1,2011
4217,7630,1,2010
4218,288,3,2001
4219,75,4,2010
4220,103,4,2005
4221,175,4,2010
4222,185,4,2005
4223,205,4,2004
4224,207,4,2006
4225,218,4,2005
4226,232,4,2005
4227,244,4,2006
4228,295,4,2007
4229,305,4,2009
4230,381,4,2007
4231,509,4,2008
4232,519,4,2007
4233,524,4,2008
4234,547,4,2006
4235,557,4,2007
4236,671,4,2006
4237,676,4,2008
4238,742,4,2010
4239,968,4,2008
4240,1008,4,2007
4241,1093,4,2009
4242,1140,4,2005
4243,1221,4,2007
4244,1309,4,2007
4245,1510,4,2009
4246,1515,4,2008
4247,1595,4,2007
4248,1644,4,2008
4249,1868,4,2009
