id,game_id,publisher_id
1,10866,369
2,9244,369
3,5464,369
4,10868,369
5,7282,369
6,9603,369
7,6573,369
8,10864,369
9,6576,369
10,2556,369
11,6729,369
12,5463,369
13,7265,369
14,10858,369
15,10859,369
16,4866,328
17,3661,498
18,3665,498
19,9258,369
20,992,369
21,7262,369
22,9251,369
23,9246,369
24,3666,498
25,7283,369
26,7254,369
27,990,369
28,3642,464
29,1199,17
30,7294,369
31,1193,17
32,7292,369
33,1194,17
34,1195,17
35,1198,17
36,3659,498
37,9332,369
38,330,369
39,5461,369
40,3847,328
41,7266,369
42,9240,369
43,3643,464
44,9248,369
45,7274,369
46,9252,369
47,3660,498
48,3639,464
49,9238,369
50,3645,464
51,9242,369
52,7264,369
53,4660,532
54,1197,17
55,3855,328
56,5460,369
57,6574,369
58,3849,328
59,3128,464
60,4655,532
61,3641,464
62,1190,17
63,2284,369
64,5821,328
65,329,369
66,5480,369
67,9696,65
68,9250,369
69,3042,139
70,10862,369
71,3845,328
72,5477,369
73,7253,369
74,3057,139
75,9957,139
76,3613,369
77,5449,452
78,3131,464
79,3130,475
80,7277,369
81,6943,54
82,3663,498
83,9249,369
84,8987,139
85,1192,17
86,9851,369
87,1628,464
88,9245,369
89,9333,369
90,1206,17
91,702,139
92,9860,369
93,4654,532
94,6510,139
95,9546,464
96,1630,464
97,9334,369
98,5462,369
99,2914,65
100,5465,369
101,4661,532
102,3040,139
103,6511,139
104,5587,139
105,10539,464
106,1627,464
107,11355,7
108,3462,328
109,10538,464
110,3039,139
111,782,369
112,7749,498
113,3041,139
114,2289,369
115,9843,369
116,475,532
117,3853,328
118,7263,369
119,4890,464
120,7260,369
121,3848,328
122,9257,369
123,9107,82
124,10995,17
125,2524,209
126,4869,328
127,3463,328
128,3461,328
129,5710,282
130,8775,452
131,5714,282
132,5709,282
133,9820,466
134,3145,474
135,5184,464
136,2437,369
137,5123,296
138,7791,551
139,9545,464
140,1583,7
141,2028,17
142,473,532
143,9331,369
144,470,532
145,656,558
146,3251,328
147,5978,82
148,9241,369
149,5466,369
150,7287,369
151,1633,538
152,5821,464
153,3148,474
154,2354,369
155,7275,369
156,3117,475
157,3134,139
158,2281,369
159,7486,369
160,10230,138
161,2453,474
162,2071,17
163,6575,369
164,9253,369
165,9854,369
166,2286,369
167,10240,369
168,5589,139
169,4929,369
170,2893,328
171,5775,328
172,3755,435
173,7796,82
174,3667,498
175,3056,139
176,7787,551
177,10252,17
178,10788,138
179,8938,464
180,5162,369
181,3756,17
182,2911,65
183,7270,369
184,10541,464
185,5319,139
186,2079,369
187,5977,82
188,3576,464
189,9039,17
190,1641,464
191,3043,139
192,2526,54
193,9940,554
194,10253,17
195,327,369
196,9873,139
197,3253,328
198,10227,138
199,9845,369
200,9858,369
201,5450,452
202,5267,369
203,8885,369
204,9820,464
205,5336,139
206,7211,17
207,5320,139
208,8873,17
209,2452,145
210,10543,464
211,3573,464
212,6725,369
213,5766,532
214,10255,17
215,10892,282
216,9694,498
217,11298,369
218,6516,139
219,7821,464
220,8774,452
221,4893,474
222,492,54
223,2892,328
224,3850,328
225,9239,369
226,655,138
227,482,532
228,6247,352
229,5712,282
230,1885,464
231,10743,17
232,3050,139
233,2849,464
234,10540,464
235,3646,464
236,9108,82
237,9528,393
238,2822,369
239,3292,217
240,5334,139
241,10791,532
242,3840,554
243,9259,369
244,3051,139
245,9855,369
246,9104,82
247,1252,498
248,10999,17
249,2918,65
250,3575,464
251,3250,328
252,11024,282
253,6257,464
254,9552,352
255,2975,532
256,8961,369
257,5821,466
258,3617,369
259,7487,369
260,5075,139
261,6260,352
262,2638,139
263,484,532
264,2296,369
265,10260,17
266,477,532
267,5973,369
